llm_final_state,semantic_concept,citations,state_total,global_citations,within_state_share,other_citations,other_total,other_state_share,specificity_ratio,distinctive_score
Abstencion,denuncias fiscalia cpi,18,1467,52,0.012269938650306749,34,12802.0,0.0026558350257772224,3.629796901868018,4.512391017545091
Abstencion,desinformacion,64,1467,428,0.043626448534423996,364,12802.0,0.02843305733479144,1.5162015969599312,3.851917780218386
Abstencion,prohibicion camiseta seleccion,22,1467,94,0.014996591683708248,72,12802.0,0.005624121231057647,2.414900199698509,3.850851792171742
Abstencion,anuncio personal,20,1467,82,0.013633265167007498,62,12802.0,0.0048429932822996406,2.504412457795647,3.8179007855466005
Abstencion,intencion,45,1467,273,0.03067484662576687,228,12802.0,0.01780971723168255,1.6839618711765991,3.7799947288252715
Abstencion,justicia,14,1467,52,0.00954328561690525,38,12802.0,0.002968286205280425,2.656886391630664,3.5112905841798847
Abstencion,fake news imagenes falsas,46,1467,332,0.03135650988411725,286,12802.0,0.022340259334478987,1.386296074110846,3.3486366310097755
Abstencion,judicializacion,9,1467,26,0.006134969325153374,17,12802.0,0.0013279175128886112,3.064957965928914,3.2291531688717923
Abstencion,clima asfixiante desinformacion,8,1467,20,0.0054533060668029995,12,12802.0,0.0009373535385096079,3.330990414773486,3.2206835438084354
Abstencion,seguridad,54,1467,450,0.03680981595092025,396,12802.0,0.03093266677081706,1.1840481793231956,3.1304490095795474
Abstencion,mano dura protesta,8,1467,22,0.0054533060668029995,14,12802.0,0.0010935791282612093,3.0824275900011937,3.090817815526231
Abstencion,efecto simbolico juridico,54,1467,466,0.03680981595092025,412,12802.0,0.03218247148882987,1.1394514710469372,3.047775147121012
Abstencion,instituciones,36,1467,286,0.024539877300613498,250,12802.0,0.019528198718950163,1.244136304908083,2.9187797950063006
Abstencion,limite simbolos nacionales,11,1467,47,0.007498295841854124,36,12802.0,0.0028120606155288236,2.229318129736824,2.912984027118819
Abstencion,rechazo ambas candidaturas,10,1467,41,0.006816632583503749,31,12802.0,0.0024214966411498203,2.284565324277773,2.8516593585050636
Abstencion,senal elite,10,1467,41,0.006816632583503749,31,12802.0,0.0024214966411498203,2.284565324277773,2.8516593585050636
Abstencion,alegacion software desinformacion,10,1467,42,0.006816632583503749,32,12802.0,0.002499609436025621,2.233572839025378,2.814140321367449
Abstencion,injerencia trump,34,1467,284,0.023176550783912748,250,12802.0,0.019528198718950163,1.1777239257526617,2.7670572159042828
Abstencion,identidad nacional,19,1467,125,0.012951601908657124,106,12802.0,0.008279956256834869,1.5034124647281064,2.7490480614542223
Abstencion,desinformacion responsabilidad digital,23,1467,166,0.015678254942058625,143,12802.0,0.011170129667239494,1.3704254102529783,2.742881130229265
Abstencion,dificultad conquista centro,32,1467,268,0.021813224267211998,236,12802.0,0.018434619590688955,1.173844651847043,2.715028781795679
Abstencion,medicion,15,1467,91,0.010224948875255624,76,12802.0,0.00593657241056085,1.6182270162949313,2.6686093736612606
Abstencion,regla oficial,27,1467,233,0.018404907975460124,206,12802.0,0.016091235744414935,1.1353718517282314,2.527946298503851
Abstencion,presunto autoatentado,18,1467,132,0.012269938650306749,114,12802.0,0.008904858615841275,1.339740340067404,2.502890784503787
Abstencion,capturas delitos electorales regiones,10,1467,52,0.006816632583503749,42,12802.0,0.0032807373847836274,1.8260014294006606,2.491084173384661
Abstencion,procedimiento,27,1467,246,0.018404907975460124,219,12802.0,0.017106702077800344,1.0716975345417232,2.42707225496678
Abstencion,exterior,40,1467,431,0.027266530334014997,391,12802.0,0.030542102796438056,0.8961523750156265,2.376042810103498
Abstencion,cauca alta participacion,14,1467,100,0.00954328561690525,86,12802.0,0.006717700359318857,1.3661175124756684,2.3323094041479338
Abstencion,garantias electorales,20,1467,170,0.013633265167007498,150,12802.0,0.011716919231370098,1.1506926245871059,2.331464658660182
Abstencion,artistas estudiantes,4,1467,6,0.0027266530334014998,2,12802.0,0.0001562255897516013,3.2231193172278068,2.3185144590532807
Abstencion,movilizacion social,9,1467,49,0.006134969325153374,40,12802.0,0.0031245117950320263,1.7298942710619578,2.312400736700785
Abstencion,red referidos contratistas,24,1467,228,0.016359918200409,204,12802.0,0.015935010154663334,1.0250905102426915,2.2712851208854525
Abstencion,atlas ventaja ocho puntos,14,1467,104,0.00954328561690525,90,12802.0,0.007030151538822059,1.3129622231826326,2.270778764449215
Abstencion,soberania financiacion extranjera,17,1467,141,0.011588275391956374,124,12802.0,0.009685986564599281,1.1780171457129682,2.2499084333703454
